Pays;CODE;Cat;Nom;Fréquence;Altitude;Latitude;Longitude
LF;LFDT;AD;Tarbes Laloubère (65);122.6;1075;43.215;0.0775;
LF;LFBT;AD;Tarbes Lourdes Pyrénées (65);119.05;1260;43.1856;-0.00277778;
LF;LFCT;AD;Thouars (79);123.35;341;46.9619;-0.152778;
LF;LFET;AD;Til Chatel (21);123.5;939;47.5464;5.21083;
LF;LFBO;AD;Toulouse Blagnac (31);118.1;499;43.635;1.36778;
LF;LFBF;AD;Toulouse Francazal (31);118.8;535;43.5492;1.35722;
LF;LFCL;AD;Toulouse Lasbordes (31);122.7;460;43.5878;1.49861;
LF;LFEN;AD;Tours Sorigny (37);123.5;299;47.2664;0.699167;
LF;LFOT;AD;Tours Val de Loire (37);118.3;357;47.4319;0.723056;
LF;LFPN;AD;Toussus le Noble (78);120.75;538;48.7497;2.11111;
LF;LFQB;AD;Troyes Barberey (10);123.725;389;48.3217;4.01667;
LF;LFCU;AD;Ussel Thalamy (19);118.75;2427;45.5358;2.42472;
LF;LFLU;AD;Valence Chabeuil (26);120.1;525;44.9156;4.96861;
LF;LFAV;AD;Valenciennes Denain (59);122.6;165;50.3247;3.46556;
LF;LFNV;AD;Valréas Visan (84);123.5;472;44.3358;4.90694;
LF;LFRV;AD;Vannes Meucon (56);122.6;440;47.7192;-2.72333;
LF;LFPV;AD;Vélizy Villacoublay (78);122.1;584;48.7742;2.19167;
LF;LFGW;AD;Verdun Sommedieue (55);125.25;1236;49.1222;5.47083;
LF;LFQW;AD;Vesoul Frotey (70);118.15;1249;47.6386;6.20417;
LF;LFLV;AD;Vichy Charmeil (03);121.4;817;46.1717;3.40417;
LF;LFHH;AD;Vienne Reventin (38);123.5;720;45.4628;4.82778;
